# Time (s)	Gamma
     336.9	    0.0906
     337.2	    0.0905
     337.5	    0.0905
     337.8	    0.0905
     338.1	    0.0904
     338.4	    0.0904
     338.7	    0.0904
     339.0	    0.0904
     339.3	    0.0904
     339.6	    0.0904
     339.9	    0.0904
     340.2	    0.0904
     340.5	    0.0903
     340.8	    0.0902
     341.1	    0.0902
     341.4	    0.0901
     341.7	    0.0901
     342.0	    0.0900
     342.3	    0.0900
     342.6	    0.0900
     342.9	    0.0899
     343.2	    0.0899
     343.5	    0.0899
     343.8	    0.0899
     344.1	    0.0899
     344.4	    0.0898
     344.7	    0.0898
     345.0	    0.0898
     345.3	    0.0898
     345.6	    0.0897
     345.9	    0.0897
     346.2	    0.0897
     346.5	    0.0897
     346.8	    0.0896
     347.1	    0.0896
     347.4	    0.0896
     347.7	    0.0896
     348.0	    0.0896
     348.3	    0.0895
     348.6	    0.0895
     348.9	    0.0895
     349.2	    0.0895
     349.5	    0.0894
     349.8	    0.0894
     350.1	    0.0894
     350.4	    0.0893
     350.7	    0.0893
     351.0	    0.0893
     351.3	    0.0893
     351.6	    0.0893
     351.9	    0.0893
     352.2	    0.0893
     352.5	    0.0893
     352.8	    0.0893
     353.1	    0.0892
     353.4	    0.0892
     353.7	    0.0892
     354.0	    0.0891
     354.3	    0.0890
     354.6	    0.0890
     354.9	    0.0889
     355.2	    0.0889
     355.5	    0.0889
     355.8	    0.0889
     356.1	    0.0888
     356.4	    0.0888
     356.7	    0.0888
     357.0	    0.0888
     357.3	    0.0888
     357.6	    0.0888
     357.9	    0.0888
     358.2	    0.0888
     358.5	    0.0888
     358.8	    0.0888
     359.1	    0.0887
     359.4	    0.0887
     359.7	    0.0887
     360.0	    0.0887
     360.3	    0.0887
     360.6	    0.0886
     360.9	    0.0886
     361.2	    0.0886
     361.5	    0.0886
     361.8	    0.0885
     362.1	    0.0885
     362.4	    0.0885
     362.7	    0.0885
     363.0	    0.0885
     363.3	    0.0885
     363.6	    0.0885
     363.9	    0.0885
     364.2	    0.0885
     364.5	    0.0884
     364.8	    0.0884
     365.1	    0.0883
     365.4	    0.0883
     365.7	    0.0882
     366.0	    0.0882
     366.3	    0.0882
     366.6	    0.0881
     366.9	    0.0881
     367.2	    0.0881
     367.5	    0.0880
     367.8	    0.0880
     368.1	    0.0881
     368.4	    0.0881
     368.7	    0.0881
     369.0	    0.0881
     369.3	    0.0881
     369.6	    0.0881
     369.9	    0.0881
     370.2	    0.0881
     370.5	    0.0881
     370.8	    0.0881
     371.1	    0.0881
     371.4	    0.0880
     371.7	    0.0880
     372.0	    0.0879
     372.3	    0.0879
     372.6	    0.0879
     372.9	    0.0878
     373.2	    0.0878
     373.5	    0.0878
     373.8	    0.0878
     374.1	    0.0877
     374.4	    0.0877
     374.7	    0.0877
     375.0	    0.0877
     375.3	    0.0877
     375.6	    0.0877
     375.9	    0.0877
     376.2	    0.0877
     376.5	    0.0877
     376.8	    0.0877
     377.1	    0.0877
     377.4	    0.0877
     377.7	    0.0876
     378.0	    0.0876
     378.3	    0.0876
     378.6	    0.0875
     378.9	    0.0875
     379.2	    0.0875
     379.5	    0.0875
     379.8	    0.0875
     380.1	    0.0874
     380.4	    0.0874
     380.7	    0.0874
     381.0	    0.0874
     381.3	    0.0874
     381.6	    0.0874
     381.9	    0.0874
     382.2	    0.0874
     382.5	    0.0874
     382.8	    0.0874
     383.1	    0.0874
     383.4	    0.0874
     383.7	    0.0873
     384.0	    0.0873
     384.3	    0.0872
     384.6	    0.0872
     384.9	    0.0872
     385.2	    0.0872
     385.5	    0.0872
     385.8	    0.0872
     386.1	    0.0871
     386.4	    0.0871
     386.7	    0.0871
     387.0	    0.0871
     387.3	    0.0871
     387.6	    0.0871
     387.9	    0.0871
     388.2	    0.0871
     388.5	    0.0871
     388.8	    0.0871
     389.1	    0.0870
     389.4	    0.0870
     389.7	    0.0870
