Timestamp, X, Y, Current Target, Current FC, Current Cage
2019-01-14T14:39:07.076887,-0.23591,-0.236214,9.921e-09,4.007e-08,0.3016246358781685
2019-01-14T14:39:07.572686,-0.491752,-0.491894,9.992000000000001e-09,4.0020000000000004e-08,0.3016246358781685
2019-01-14T14:39:08.068756,-0.739891,-0.6,1.005e-08,4.001e-08,0.3016246358781685
2019-01-14T14:39:08.564451,-0.987863,-0.599997,1.0074e-08,4.004e-08,0.3016246358781685
2019-01-14T14:39:09.076770,-0.999998,-0.599996,1.0087999999999999e-08,4.006e-08,0.3016246358781685
2019-01-14T14:39:09.571774,-0.999998,-0.599998,1.0098000000000002e-08,4.0090000000000004e-08,0.301991633933628
2019-01-14T14:39:10.067605,-0.999998,-0.6,1.0106000000000001e-08,4.01e-08,0.301991633933628
2019-01-14T14:39:10.578329,-1.0,-0.600003,1.0107e-08,4.01e-08,0.301991633933628
2019-01-14T14:39:11.075460,-1.000003,-0.599997,1.0109000000000001e-08,4.011e-08,0.301991633933628
2019-01-14T14:39:11.571283,-1.000002,-0.600002,1.0108000000000002e-08,4.011e-08,0.301991633933628
2019-01-14T14:39:12.067115,-1.0,-0.6,1.0109000000000001e-08,4.011e-08,0.301991633933628
2019-01-14T14:39:12.577707,-0.999999,-0.599995,1.0106000000000001e-08,4.011e-08,0.301991633933628
2019-01-14T14:39:13.075589,-1.0,-0.6,1.0103999999999999e-08,4.011e-08,0.301991633933628
2019-01-14T14:39:13.570011,-1.0,-0.600006,1.0101000000000002e-08,4.01e-08,0.301991633933628
2019-01-14T14:39:14.064998,-1.0,-0.599996,1.0099000000000002e-08,4.01e-08,0.301991633933628
2019-01-14T14:39:14.577364,-1.0,-0.600002,1.0093e-08,4.0090000000000004e-08,0.301991633933628
2019-01-14T14:39:15.072625,-1.0,-0.599997,1.0093e-08,4.01e-08,0.301991633933628
2019-01-14T14:39:15.569165,-1.0,-0.600008,1.0090999999999999e-08,4.0090000000000004e-08,0.301991633933628
2019-01-14T14:39:16.064153,-1.000002,-0.600003,1.0095000000000002e-08,4.01e-08,0.301991633933628
2019-01-14T14:39:16.577020,-1.0,-0.599996,1.0095000000000002e-08,4.0090000000000004e-08,0.301991633933628
2019-01-14T14:39:17.072879,-0.999998,-0.599993,1.0094e-08,4.0090000000000004e-08,0.30136557842966044
2019-01-14T14:39:17.567515,-1.0,-0.600006,1.0094e-08,4.008e-08,0.30136557842966044
2019-01-14T14:39:18.079469,-1.0,-0.600002,1.0095000000000002e-08,4.0090000000000004e-08,0.30136557842966044
2019-01-14T14:39:18.575476,-1.0,-0.599996,1.0093e-08,4.0090000000000004e-08,0.30136557842966044
2019-01-14T14:39:19.070902,-1.000002,-0.600002,1.0094e-08,4.01e-08,0.30136557842966044
2019-01-14T14:39:19.567090,-1.000005,-0.600002,1.0089000000000002e-08,4.01e-08,0.30136557842966044
2019-01-14T14:39:20.078432,-0.999999,-0.600002,1.0083e-08,4.0090000000000004e-08,0.30136557842966044
2019-01-14T14:39:20.573916,-0.999999,-0.600003,1.0078e-08,4.0090000000000004e-08,0.30136557842966044
